30
f05 492 000 249 a2d 824 db7 6db
1 1 20 30 6 6 2 1
200 400 e18 492 a23 600 724 d6b
5 5 40 50 10 10 4 1
049 400 600 818 249 a28 449 249
1 5 20 50 6 10 2 1
600 16d e7a cdb 809 3b6 5ff a12
1 2 30 50 10 9 3 1
801 808 000 200 400 600 400 292
1 1 20 30 6 6 2 1
649 000 811 049 249 449 c4f c05
5 5 40 50 10 10 4 1
524 ede 76d c00 092 a3f 2db 836
1 5 20 50 6 10 2 1
400 449 a12 0db 724 d6b 200 83e
5 1 26 44 6 10 3 1
600 249 810 000 449 c4f 200 a38
1 1 20 30 6 6 2 1
1ff 692 449 a24 200 81b d69 ea5
5 5 40 50 10 10 4 1
000 a09 200 400 600 292 833 000
1 5 20 50 6 10 2 1
200 809 049 249 449 400 831 c03
2 5 23 39 8 6 2 1
36d 5b6 7ff 800 c92 a09 e86 124
1 1 20 30 6 6 2 1
600 808 000 200 400 600 830 c01
5 5 40 50 10 10 4 1
449 808 811 000 200 400 600 a38
1 5 20 50 6 10 2 1
dfb a36 e7c 724 4db 049 82d 292
5 4 24 42 6 9 4 1
200 649 c97 2db 400 600 a30 a3c
1 1 20 30 6 6 2 1
049 400 249 600 449 828 c07 449
5 5 40 50 10 10 4 1
1b6 400 eff 812 a1b 3ff 649 d22
1 5 20 50 6 10 2 1
800 000 200 400 e5d 600 830 838
2 2 32 36 8 6 3 1
649 809 049 000 249 000 449 049
1 1 20 30 6 6 2 1
c4c f4f 56d a00 83f 7b6 0db 324
5 5 40 50 10 10 4 1
c4d 400 812 f91 524 600 600 76d
1 5 20 50 6 10 2 1
600 808 249 449 000 200 049 c06
3 1 35 35 10 8 4 1
824 249 492 000 6db fad a2d db6
1 1 20 30 6 6 2 1
000 809 200 400 600 828 692 400
5 5 40 50 10 10 4 1
801 049 249 200 400 449 000 a39
1 5 20 50 6 10 2 1
600 809 a12 3b6 16d 5ff ecc cd9
4 2 31 31 7 6 3 1
600 200 449 a1a 0db 724 d6c 3b6
1 1 20 30 6 6 2 1
800 000 200 449 400 600 a31 c03
5 5 40 50 10 10 4 1
